flight_id,flight_date,month,season,day_of_week,airline,aircraft_type,origin_airport,destination_airport,route,distance_km,scheduled_departure,departure_delay_min,arrival_delay_min,actual_elapsed_min,scheduled_duration_min,delay_cause,cancelled,passengers_onboard,ticket_price_gbp,satisfaction_score
FL11235,2023-01-04,1,Winter,Wednesday,CloudJet,Boeing 787,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,11:55,38.0,44.0,184.0,135,Weather,0,70.0,57.26,3.4
FL12176,2023-01-04,1,Winter,Wednesday,SkyWing Air,Airbus A320,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,12:10,0.0,0.0,85.0,85,On Time,0,283.0,72.19,5.0
FL10642,2023-01-04,1,Winter,Wednesday,AeroSwift,Boeing 737,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,06:55,,,,135,Security,1,293.0,94.95,1.8
FL11618,2023-01-04,1,Winter,Wednesday,NovaStar,Airbus A380,Glasgow,Dublin,Glasgow → Dublin,220,06:10,15.0,17.0,74.0,50,Crew Availability,0,416.0,49.0,3.8
FL13469,2023-01-04,1,Winter,Wednesday,NovaStar,Embraer E190,Birmingham,Istanbul,Birmingham → Istanbul,2680,07:35,19.0,26.0,231.0,210,Weather,0,111.0,108.25,3.0
FL13355,2023-01-05,1,Winter,Thursday,Atlantic Wings,Boeing 737,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,06:50,31.0,27.0,160.0,135,Air Traffic Control,0,274.0,80.83,2.2
FL11602,2023-01-05,1,Winter,Thursday,Atlantic Wings,Boeing 737,London Heathrow,Dubai,London Heathrow → Dubai,5490,15:35,0.0,14.0,429.0,415,On Time,0,130.0,429.07,4.9
FL13242,2023-01-05,1,Winter,Thursday,NovaStar,Airbus A320,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,08:05,,,,135,Late Aircraft,1,222.0,97.11,1.8
FL12046,2023-01-05,1,Winter,Thursday,SkyWing Air,Boeing 777,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,10:20,15.0,17.0,442.0,430,Security,0,111.0,409.7,3.5
FL14985,2023-01-05,1,Winter,Thursday,NovaStar,Boeing 737,Leeds Bradford,Alicante,Leeds Bradford → Alicante,1590,08:10,0.0,0.0,154.0,145,On Time,0,386.0,127.6,3.9
FL13155,2023-01-05,1,Winter,Thursday,AeroSwift,Boeing 737,Birmingham,Istanbul,Birmingham → Istanbul,2680,16:55,0.0,12.0,231.0,210,On Time,0,131.0,128.78,4.2
FL12807,2023-01-05,1,Winter,Thursday,NovaStar,Airbus A320,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,09:05,2.0,0.0,90.0,85,Security,0,378.0,51.89,3.6
FL10574,2023-01-05,1,Winter,Thursday,SkyWing Air,Airbus A380,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,10:15,7.0,6.0,748.0,745,Technical,0,68.0,773.86,3.6
FL14576,2023-01-05,1,Winter,Thursday,Atlantic Wings,Boeing 737,Bristol,Malaga,Bristol → Malaga,1620,07:40,171.0,180.0,324.0,145,Technical,0,261.0,80.33,1.1
FL14250,2023-01-06,1,Winter,Friday,SkyWing Air,Airbus A320,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,08:20,40.0,46.0,797.0,745,Late Aircraft,0,289.0,772.19,2.8
FL14750,2023-01-06,1,Winter,Friday,NovaStar,Embraer E190,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,18:40,0.0,15.0,146.0,135,On Time,0,360.0,59.74,4.7
FL12589,2023-01-06,1,Winter,Friday,NovaStar,Boeing 787,Leeds Bradford,Alicante,Leeds Bradford → Alicante,1590,09:20,32.0,41.0,196.0,145,Crew Availability,0,183.0,53.57,3.1
FL12636,2023-01-06,1,Winter,Friday,PolarAir,Boeing 737,Manchester,Barcelona,Manchester → Barcelona,1440,07:30,9.0,10.0,143.0,130,Late Aircraft,0,113.0,108.38,3.2
FL12873,2023-01-06,1,Winter,Friday,SkyWing Air,Embraer E190,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,20:20,13.0,18.0,445.0,430,Technical,0,342.0,375.43,3.9
FL11091,2023-01-06,1,Winter,Friday,CloudJet,Airbus A380,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,22:50,42.0,49.0,481.0,430,Late Aircraft,0,324.0,365.94,2.3
FL12883,2023-01-06,1,Winter,Friday,PolarAir,Boeing 777,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,11:05,10.0,2.0,755.0,745,Weather,0,333.0,641.26,3.1
FL13600,2023-01-06,1,Winter,Friday,PolarAir,Boeing 777,London Heathrow,Dubai,London Heathrow → Dubai,5490,14:35,20.0,33.0,454.0,415,Air Traffic Control,0,112.0,322.85,3.5
FL13816,2023-01-06,1,Winter,Friday,PolarAir,Airbus A320,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,14:45,0.0,11.0,147.0,135,On Time,0,156.0,135.09,4.9
FL13631,2023-01-06,1,Winter,Friday,NovaStar,Boeing 737,Glasgow,Dublin,Glasgow → Dublin,220,11:00,9.0,2.0,50.0,50,Crew Availability,0,222.0,69.28,3.2
FL10139,2023-01-07,1,Winter,Saturday,CloudJet,Boeing 737,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,12:20,64.0,65.0,805.0,745,Security,0,193.0,665.23,3.0
FL10374,2023-01-07,1,Winter,Saturday,SkyWing Air,Airbus A320,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,15:30,17.0,28.0,458.0,430,Weather,0,159.0,385.53,3.5
FL10415,2023-01-07,1,Winter,Saturday,SkyWing Air,Boeing 787,Manchester,Barcelona,Manchester → Barcelona,1440,21:55,58.0,59.0,199.0,130,Late Aircraft,0,414.0,67.04,2.2
FL13119,2023-01-07,1,Winter,Saturday,PolarAir,Airbus A320,Glasgow,Dublin,Glasgow → Dublin,220,08:50,41.0,46.0,100.0,50,Crew Availability,0,111.0,56.97,2.4
FL10628,2023-01-07,1,Winter,Saturday,NovaStar,Airbus A320,Bristol,Malaga,Bristol → Malaga,1620,08:25,0.0,3.0,148.0,145,On Time,0,265.0,64.55,4.2
FL12217,2023-01-07,1,Winter,Saturday,NovaStar,Airbus A320,London Heathrow,Dubai,London Heathrow → Dubai,5490,10:20,0.0,14.0,424.0,415,On Time,0,189.0,311.69,4.1
FL14238,2023-01-07,1,Winter,Saturday,CloudJet,Airbus A320,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,09:25,0.0,4.0,91.0,85,On Time,0,166.0,85.63,4.4
FL11273,2023-01-07,1,Winter,Saturday,AeroSwift,Airbus A320,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,20:10,54.0,65.0,150.0,85,Crew Availability,0,94.0,91.27,2.5
FL13731,2023-01-07,1,Winter,Saturday,AeroSwift,Boeing 777,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,11:35,38.0,46.0,126.0,85,Security,0,310.0,102.2,2.4
FL11828,2023-01-08,1,Winter,Sunday,Atlantic Wings,Airbus A320,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,17:30,97.0,91.0,234.0,135,Weather,0,,116.91,1.1
FL11628,2023-01-08,1,Winter,Sunday,PolarAir,Airbus A380,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,20:45,,,,745,Weather,1,84.0,631.52,1.7
FL10594,2023-01-08,1,Winter,Sunday,Atlantic Wings,Embraer E190,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,18:00,,,,135,Security,1,63.0,133.99,1.6
FL12296,2023-01-08,1,Winter,Sunday,CloudJet,Boeing 777,Leeds Bradford,Alicante,Leeds Bradford → Alicante,1590,15:00,31.0,45.0,194.0,145,Weather,0,162.0,89.82,2.1
FL13987,2023-01-08,1,Winter,Sunday,AeroSwift,Boeing 777,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,12:35,7.0,6.0,86.0,85,Late Aircraft,0,233.0,55.47,3.8
FL10537,2023-01-08,1,Winter,Sunday,AeroSwift,Airbus A320,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,22:20,3.0,10.0,441.0,430,Technical,0,397.0,322.27,4.1
FL14961,2023-01-08,1,Winter,Sunday,AeroSwift,Boeing 777,Birmingham,Istanbul,Birmingham → Istanbul,2680,11:50,19.0,18.0,223.0,210,Crew Availability,0,171.0,102.17,3.6
FL11465,2023-01-08,1,Winter,Sunday,AeroSwift,Boeing 777,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,08:50,0.0,9.0,150.0,135,On Time,0,240.0,102.92,4.4
FL12100,2023-01-09,1,Winter,Monday,SkyWing Air,Boeing 737,Manchester,Barcelona,Manchester → Barcelona,1440,07:30,4.0,7.0,147.0,130,Security,0,399.0,76.96,4.4
FL11742,2023-01-09,1,Winter,Monday,Atlantic Wings,Airbus A380,Bristol,Malaga,Bristol → Malaga,1620,22:15,12.0,26.0,181.0,145,Technical,0,303.0,182.99,3.7
FL12665,2023-01-09,1,Winter,Monday,CloudJet,Boeing 777,Manchester,Barcelona,Manchester → Barcelona,1440,22:25,,,,130,Late Aircraft,1,332.0,119.78,1.7
FL13941,2023-01-09,1,Winter,Monday,PolarAir,Airbus A320,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,09:15,55.0,66.0,808.0,745,Late Aircraft,0,77.0,636.1,
FL12869,2023-01-09,1,Winter,Monday,PolarAir,Boeing 777,London Heathrow,Dubai,London Heathrow → Dubai,5490,08:10,7.0,7.0,424.0,415,Technical,0,293.0,379.62,3.1
FL11894,2023-01-09,1,Winter,Monday,AeroSwift,Boeing 787,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,14:40,,,,85,Air Traffic Control,1,172.0,49.0,1.7
FL13497,2023-01-09,1,Winter,Monday,SkyWing Air,Boeing 777,Leeds Bradford,Alicante,Leeds Bradford → Alicante,1590,08:10,39.0,54.0,200.0,145,Air Traffic Control,0,364.0,151.81,2.5
FL14976,2023-01-09,1,Winter,Monday,AeroSwift,Airbus A320,Bristol,Malaga,Bristol → Malaga,1620,18:30,22.0,23.0,172.0,145,Weather,0,187.0,63.93,3.1
FL11172,2023-01-09,1,Winter,Monday,NovaStar,Airbus A320,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,07:10,0.0,1.0,438.0,430,On Time,0,125.0,317.45,3.8
FL14929,2023-01-09,1,Winter,Monday,NovaStar,Boeing 787,Glasgow,Dublin,Glasgow → Dublin,220,15:25,0.0,0.0,59.0,50,On Time,0,420.0,49.0,4.4
FL11293,2023-01-09,1,Winter,Monday,NovaStar,Boeing 787,Birmingham,Istanbul,Birmingham → Istanbul,2680,15:45,0.0,1.0,208.0,210,On Time,0,234.0,127.42,4.0
FL14871,2023-01-10,1,Winter,Tuesday,AeroSwift,Boeing 777,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,11:00,51.0,64.0,157.0,85,Crew Availability,0,70.0,100.45,2.9
FL10251,2023-01-10,1,Winter,Tuesday,CloudJet,Boeing 777,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,20:50,17.0,28.0,772.0,745,Security,0,274.0,638.59,4.2
FL10180,2023-01-10,1,Winter,Tuesday,PolarAir,Boeing 737,Manchester,Barcelona,Manchester → Barcelona,1440,14:30,0.0,8.0,148.0,130,On Time,0,269.0,107.4,4.6
FL14711,2023-01-10,1,Winter,Tuesday,NovaStar,Boeing 787,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,22:40,15.0,8.0,763.0,745,Weather,0,298.0,569.45,4.3
FL14831,2023-01-10,1,Winter,Tuesday,SkyWing Air,Boeing 787,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,12:00,64.0,62.0,204.0,135,Technical,0,141.0,72.89,2.8
FL13546,2023-01-11,1,Winter,Wednesday,AeroSwift,Boeing 777,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,21:40,12.0,5.0,144.0,135,Late Aircraft,0,276.0,78.08,4.3
FL10571,2023-01-11,1,Winter,Wednesday,CloudJet,Airbus A380,London Heathrow,Dubai,London Heathrow → Dubai,5490,19:10,57.0,72.0,497.0,415,Late Aircraft,0,296.0,338.45,2.1
FL12706,2023-01-11,1,Winter,Wednesday,PolarAir,Airbus A380,Glasgow,Dublin,Glasgow → Dublin,220,11:55,,,,50,Late Aircraft,1,150.0,49.0,1.8
FL13016,2023-01-11,1,Winter,Wednesday,AeroSwift,Airbus A320,London Heathrow,New York JFK,London Heathrow → New York JFK,5570,11:40,17.0,11.0,433.0,420,Weather,0,256.0,275.9,4.2
FL12569,2023-01-11,1,Winter,Wednesday,SkyWing Air,Airbus A320,Bristol,Malaga,Bristol → Malaga,1620,16:05,66.0,60.0,213.0,145,Security,0,184.0,122.13,2.7
FL14894,2023-01-11,1,Winter,Wednesday,CloudJet,Boeing 787,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,09:50,11.0,23.0,155.0,135,Crew Availability,0,246.0,77.82,4.4
FL13314,2023-01-11,1,Winter,Wednesday,AeroSwift,Airbus A320,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,06:15,8.0,5.0,754.0,745,Crew Availability,0,233.0,587.68,4.2
FL10919,2023-01-11,1,Winter,Wednesday,Atlantic Wings,Airbus A320,Leeds Bradford,Alicante,Leeds Bradford → Alicante,1590,06:55,0.0,0.0,147.0,145,On Time,0,96.0,99.44,4.6
FL10645,2023-01-11,1,Winter,Wednesday,CloudJet,Airbus A380,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,11:20,0.0,0.0,83.0,85,On Time,0,412.0,85.65,4.3
FL10323,2023-01-11,1,Winter,Wednesday,SkyWing Air,Embraer E190,Glasgow,Dublin,Glasgow → Dublin,220,20:10,14.0,21.0,66.0,50,Security,0,,74.35,4.4
FL11493,2023-01-11,1,Winter,Wednesday,Atlantic Wings,Boeing 787,Leeds Bradford,Alicante,Leeds Bradford → Alicante,1590,08:45,0.0,0.0,141.0,145,On Time,0,144.0,74.49,4.0
FL10687,2023-01-12,1,Winter,Thursday,Atlantic Wings,Boeing 737,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,16:45,19.0,13.0,155.0,135,Security,0,72.0,75.09,4.1
FL12306,2023-01-12,1,Winter,Thursday,NovaStar,Embraer E190,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,11:20,0.0,10.0,152.0,135,On Time,0,259.0,126.44,4.3
FL11875,2023-01-12,1,Winter,Thursday,CloudJet,Boeing 737,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,06:50,0.0,12.0,153.0,135,On Time,0,312.0,75.23,4.0
FL13417,2023-01-12,1,Winter,Thursday,AeroSwift,Boeing 737,Leeds Bradford,Alicante,Leeds Bradford → Alicante,1590,16:05,0.0,0.0,148.0,145,On Time,0,247.0,105.14,5.0
FL13566,2023-01-12,1,Winter,Thursday,AeroSwift,Airbus A380,Bristol,Malaga,Bristol → Malaga,1620,15:55,16.0,23.0,178.0,145,Late Aircraft,0,414.0,114.45,3.7
FL11543,2023-01-12,1,Winter,Thursday,Atlantic Wings,Airbus A320,Leeds Bradford,Alicante,Leeds Bradford → Alicante,1590,13:50,10.0,6.0,151.0,145,Air Traffic Control,0,396.0,97.09,4.3
FL13562,2023-01-12,1,Winter,Thursday,PolarAir,Boeing 777,Manchester,Barcelona,Manchester → Barcelona,1440,05:50,41.0,40.0,176.0,130,Security,0,328.0,108.77,3.2
FL13061,2023-01-12,1,Winter,Thursday,Atlantic Wings,Airbus A320,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,06:55,2.0,4.0,430.0,430,Late Aircraft,0,232.0,393.52,4.5
FL14358,2023-01-12,1,Winter,Thursday,PolarAir,Airbus A320,Manchester,Barcelona,Manchester → Barcelona,1440,22:00,0.0,0.0,125.0,130,On Time,0,347.0,94.9,4.9
FL12375,2023-01-12,1,Winter,Thursday,CloudJet,Airbus A320,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,15:45,5.0,5.0,143.0,135,Security,0,243.0,89.63,3.4
FL12244,2023-01-13,1,Winter,Friday,SkyWing Air,Boeing 787,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,06:30,0.0,0.0,430.0,430,On Time,0,341.0,375.76,4.8
FL10545,2023-01-13,1,Winter,Friday,NovaStar,Boeing 737,Leeds Bradford,Alicante,Leeds Bradford → Alicante,1590,09:15,0.0,0.0,148.0,145,On Time,0,241.0,108.81,4.3
FL11933,2023-01-13,1,Winter,Friday,AeroSwift,Embraer E190,Birmingham,Istanbul,Birmingham → Istanbul,2680,21:45,30.0,37.0,244.0,210,Late Aircraft,0,308.0,119.7,4.0
FL12081,2023-01-14,1,Winter,Saturday,NovaStar,Embraer E190,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,07:00,48.0,48.0,792.0,745,Late Aircraft,0,415.0,617.45,2.9
FL10253,2023-01-14,1,Winter,Saturday,Atlantic Wings,Boeing 787,London Heathrow,Dubai,London Heathrow → Dubai,5490,08:45,27.0,23.0,435.0,415,Weather,0,111.0,391.4,4.4
FL13046,2023-01-14,1,Winter,Saturday,AeroSwift,Airbus A320,Glasgow,Dublin,Glasgow → Dublin,220,15:45,31.0,38.0,96.0,50,Technical,0,413.0,49.0,3.0
FL13912,2023-01-14,1,Winter,Saturday,SkyWing Air,Airbus A320,London Heathrow,New York JFK,London Heathrow → New York JFK,5570,14:55,7.0,6.0,426.0,420,Weather,0,269.0,380.75,3.3
FL13740,2023-01-14,1,Winter,Saturday,Atlantic Wings,Boeing 737,London Heathrow,Dubai,London Heathrow → Dubai,5490,07:35,30.0,36.0,454.0,415,Security,0,310.0,330.04,4.1
FL10799,2023-01-14,1,Winter,Saturday,NovaStar,Boeing 737,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,08:20,15.0,19.0,157.0,135,Weather,0,200.0,134.66,3.9
FL10943,2023-01-14,1,Winter,Saturday,Atlantic Wings,Embraer E190,Birmingham,Istanbul,Birmingham → Istanbul,2680,21:45,,,,210,Security,1,380.0,245.06,2.4
FL11748,2023-01-14,1,Winter,Saturday,PolarAir,Airbus A320,London Heathrow,New York JFK,London Heathrow → New York JFK,5570,17:20,26.0,25.0,441.0,420,Late Aircraft,0,118.0,378.64,3.5
FL12885,2023-01-15,1,Winter,Sunday,SkyWing Air,Embraer E190,Leeds Bradford,Alicante,Leeds Bradford → Alicante,1590,17:35,22.0,17.0,157.0,145,Crew Availability,0,62.0,164.43,4.3
FL10247,2023-01-15,1,Winter,Sunday,CloudJet,Boeing 737,Glasgow,Dublin,Glasgow → Dublin,220,11:50,,,,50,Crew Availability,1,187.0,54.61,1.3
FL12477,2023-01-15,1,Winter,Sunday,SkyWing Air,Boeing 737,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,06:00,1.0,0.0,134.0,135,Crew Availability,0,235.0,155.02,3.8
FL11399,2023-01-15,1,Winter,Sunday,CloudJet,Boeing 777,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,08:20,7.0,2.0,138.0,135,Air Traffic Control,0,277.0,137.77,3.7
FL12595,2023-01-15,1,Winter,Sunday,NovaStar,Boeing 737,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,16:45,4.0,1.0,145.0,135,Air Traffic Control,0,378.0,91.65,3.9
FL14819,2023-01-15,1,Winter,Sunday,Atlantic Wings,Airbus A380,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,05:40,,,,135,Technical,1,73.0,138.55,1.0
FL11652,2023-01-15,1,Winter,Sunday,NovaStar,Airbus A320,Birmingham,Istanbul,Birmingham → Istanbul,2680,05:35,0.0,5.0,223.0,210,On Time,0,108.0,116.27,4.4
FL12399,2023-01-15,1,Winter,Sunday,AeroSwift,Boeing 737,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,12:35,7.0,21.0,110.0,85,Air Traffic Control,0,174.0,49.0,4.2
FL13489,2023-01-15,1,Winter,Sunday,Atlantic Wings,Airbus A320,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,09:45,14.0,20.0,773.0,745,Crew Availability,0,381.0,688.6,3.3
FL11654,2023-01-16,1,Winter,Monday,PolarAir,Boeing 737,Glasgow,Dublin,Glasgow → Dublin,220,09:35,0.0,11.0,68.0,50,On Time,0,383.0,49.0,4.4
FL10719,2023-01-16,1,Winter,Monday,PolarAir,Boeing 737,London Heathrow,New York JFK,London Heathrow → New York JFK,5570,11:45,56.0,63.0,478.0,420,Air Traffic Control,0,280.0,361.27,2.5
FL14962,2023-01-16,1,Winter,Monday,CloudJet,Boeing 777,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,10:35,1.0,1.0,441.0,430,Air Traffic Control,0,395.0,320.19,4.3
FL10745,2023-01-16,1,Winter,Monday,Atlantic Wings,Embraer E190,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,15:05,,,,85,Late Aircraft,1,152.0,49.0,1.4
FL13653,2023-01-16,1,Winter,Monday,AeroSwift,Embraer E190,London Heathrow,New York JFK,London Heathrow → New York JFK,5570,10:15,6.0,21.0,438.0,420,Late Aircraft,0,100.0,257.58,3.3
FL12824,2023-01-16,1,Winter,Monday,CloudJet,Boeing 787,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,17:25,56.0,64.0,148.0,85,Security,0,164.0,49.0,3.4
FL10327,2023-01-16,1,Winter,Monday,PolarAir,Airbus A320,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,10:20,0.0,7.0,98.0,85,On Time,0,297.0,49.0,4.6
FL12770,2023-01-16,1,Winter,Monday,CloudJet,Airbus A320,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,12:15,38.0,47.0,133.0,85,Technical,0,162.0,59.61,2.2
FL14549,2023-01-16,1,Winter,Monday,CloudJet,Embraer E190,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,09:15,12.0,7.0,92.0,85,Crew Availability,0,228.0,107.35,
